mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_feature_selection__k,param_knn_classifier__algorithm,param_knn_classifier__leaf_size,param_knn_classifier__metric,param_knn_classifier__n_neighbors,param_knn_classifier__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.4589468638102214,43.66877849896749,0.3302,0.5241250180379345,10,ball_tree,20,chebyshev,5,uniform,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",93,0.3288085595720214,0.5239755993899847,0.33151671208219796,0.5253940674258428,0.3302747706077956,0.5230053872979763,0.07509639574348985,0.7965249647271422,0.0011068826413404124,0.000980881453109903
0.7193513711293539,44.81878391901652,0.33460833333333334,0.9277000082282566,10,ball_tree,20,chebyshev,5,distance,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",79,0.3319834008299585,0.9274356858921473,0.3355166120846979,0.9285241065513319,0.3363252243918294,0.9271402322412909,0.2859476042733598,0.3408465099296555,0.0018853027964909226,0.0005950780058236476
1.5589836438496907,44.10402409235636,0.3380666666666667,0.4540166455395624,10,ball_tree,20,chebyshev,10,uniform,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 10, 'knn_classifier__weights': 'uniform'}",59,0.33658317084145795,0.4526613165329133,0.336241593960151,0.45444318053975674,0.34137560317023774,0.454945439546017,1.2171568378692936,3.2046467247701,0.0023437920245362454,0.0009800522314450436
1.373431126276652,43.58036653200785,0.34560833333333335,0.9282375061974658,10,ball_tree,20,chebyshev,10,distance,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 10, 'knn_classifier__weights': 'distance'}",25,0.3426328683565822,0.9280357008925223,0.34709132271693205,0.9288616107701346,0.3471010325774433,0.9278152069297402,0.2355174566369583,1.189579989059762,0.002104054095692989,0.0004503955928777414
1.751703421274821,44.87554359436035,0.33998333333333336,0.4257833265604482,10,ball_tree,20,chebyshev,15,uniform,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 15, 'knn_classifier__weights': 'uniform'}",53,0.3404079796010199,0.4250606265156629,0.338641533961651,0.4262803285041063,0.3409005675425657,0.4260090246615752,0.5504648166893141,1.4776725252561977,0.0009698899472036916,0.0005228912951353392
3.1140761375427246,38.32966693242391,0.35125833333333334,0.9282666722391649,10,ball_tree,20,chebyshev,15,distance,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'chebyshev', 'knn_classifier__n_neighbors': 15, 'knn_classifier__weights': 'distance'}",11,0.3485325733713314,0.9280482012050302,0.35214119647008824,0.9288741109263866,0.35310148261119584,0.927877704586078,0.9826831074928849,6.723644922816119,0.001966939257983105,0.00043512725595985834
2.1028268337249756,14.28779379526774,0.33198333333333335,0.5264875365289966,10,ball_tree,20,minkowski,5,uniform,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'minkowski', 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",87,0.33210839458027097,0.5271756793919848,0.33386665333366666,0.5278190977387217,0.32997474810610794,0.5244678324562829,0.28724451649439103,1.0162479765592822,0.001591303032888923,0.001452101970301726
2.9269880453745523,15.827033122380575,0.336225,0.9277000082282566,10,ball_tree,20,minkowski,5,distance,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'minkowski', 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",69,0.33375831208439577,0.9274356858921473,0.33731656708582286,0.9285241065513319,0.3376003200240018,0.9271402322412909,0.26822795685215517,2.013406857033205,0.001748119494085352,0.0005950780058236476
2.9993932247161865,16.975695848464966,0.3408083333333333,0.4569375125724264,10,ball_tree,20,minkowski,10,uniform,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'minkowski', 'knn_classifier__n_neighbors': 10, 'knn_classifier__weights': 'uniform'}",47,0.33950802459877005,0.4568364209105228,0.34054148646283844,0.4578182227277841,0.3423756781758632,0.45615789407897206,0.2435992956543898,0.07997827626843053,0.0011858164543837551,0.0006815851370622864
3.0781702995300293,20.04071831703186,0.34584166666666666,0.9282375061974658,10,ball_tree,20,minkowski,10,distance,"{'feature_selection__k': 10, 'knn_classifier__algorithm': 'ball_tree', 'knn_classifier__leaf_size': 20, 'knn_classifier__metric': 'minkowski', 'knn_classifier__n_neighbors': 10, 'knn_classifier__weights': 'distance'}",21,0.34388280585970704,0.9280357008925223,0.3478413039674008,0.9288616107701346,0.34580093507013027,0.9278152069297402,1.00097954044092,1.6228350823247382,0.0016163369857564735,0.0004503955928777414
