mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_random_forest__max_depth,param_random_forest__max_leaf_nodes,param_random_forest__min_samples_split,param_random_forest__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.7307714621225992,0.30720043182373047,0.4378666666666667,0.4409459352186746,20,100,20,10,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 10}",390,0.44181686373521983,0.44587922047076767,0.4392859821495537,0.4407319908501144,0.43249662483124157,0.4362265943351416,0.22511726446224797,0.11425366601065881,0.0039351213750859065,0.003943570883786402
1.8091487884521484,0.31985974311828613,0.4409666666666667,0.44407092704415047,20,100,20,20,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 20}",368,0.44349173811964104,0.4489793367251272,0.4415860396509913,0.44201947475656556,0.4378218910945547,0.4412139696507587,0.2531827478387818,0.08169067323492239,0.0023557869359646603,0.0034863136038036503
3.3600570360819497,0.4782126744588216,0.4423166666666667,0.44632087980541413,20,100,20,50,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 50}",348,0.44499162562807787,0.4487668287560784,0.4415860396509913,0.44524443444456946,0.44037201860093006,0.4449513762155946,0.39887489861939085,0.0985324649501985,0.0019554378544671632,0.0017336801864500158
7.175518433252971,1.171903371810913,0.4441583333333333,0.4473791923058256,20,100,20,100,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 100}",324,0.4455165862560308,0.4487293273497756,0.4434610865271632,0.4467819152260597,0.44349717485874296,0.44662633434164145,0.5882525281933044,0.29333526485571304,0.0009605968618042169,0.0009568001639407388
1.434057315190633,0.18526625633239746,0.439775,0.4432667561049655,20,100,50,10,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 10}",380,0.44421668374871887,0.446966761253547,0.44233605840146006,0.44623192210097373,0.4327716385819291,0.436601584960376,0.19987545106315557,0.06393211765390835,0.005011104639497334,0.004722525943817278
1.5612338383992512,0.3988439242045085,0.4398,0.44265426428249355,20,100,50,20,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 20}",379,0.44441666874984376,0.4475042814105529,0.44028600715017874,0.44183197710028627,0.4346967348367418,0.43862653433664156,0.05541195527555922,0.04762119837107391,0.003983023938072229,0.003670668915842818
4.769498348236084,0.503758986790975,0.44364166666666666,0.44671667345090627,20,100,50,50,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 50}",333,0.44374171937104717,0.4471292673475255,0.44423610590264756,0.44628192147598156,0.44294714735736784,0.4467388315292118,0.3517669552158281,0.006923913361395692,0.0005309404922410197,0.0003462821506914919
6.6868358453114825,0.8392450014750162,0.442725,0.4467875331388542,20,100,50,100,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 100}",338,0.4448416368772342,0.44852931984949435,0.44321108027700695,0.4460319246009425,0.440122006100305,0.44580135496612583,0.7017728150274655,0.1548171900721497,0.001957208409382662,0.001235220978380463
1.3103801409403484,0.2701207796732585,0.44049166666666667,0.4440666562606341,20,100,100,10,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 10}",374,0.4391170662200335,0.44305411452929483,0.4426110652766319,0.4466319171010362,0.43974698734936746,0.4425139371515712,0.277934180288771,0.06094715905765062,0.0015205180950663996,0.0018272694171589433
1.7843090693155925,0.2323312759399414,0.4406083333333333,0.44411255574164193,20,100,100,20,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 20}",373,0.4425918056145789,0.4472167706288986,0.4392109802745069,0.44196947538155773,0.440022001100055,0.44315142121446965,0.2790018730242467,0.09263145187982033,0.0014411537516020904,0.0022474224551225453
4.353683153788249,0.7384959856669108,0.44388333333333335,0.44763751194128454,20,100,100,50,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 50}",329,0.4447166462515311,0.44835431328674824,0.4435610890272257,0.44691941350733116,0.44337216860843043,0.44763880902977427,0.25593007552396524,0.1581205795704997,0.000594300038902077,0.0005857960999481566
7.711621920267741,0.8841805458068848,0.4411,0.4443000183970723,20,100,100,100,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 100}",365,0.4423668224883134,0.4451416928134805,0.44176104402610067,0.4445069436632042,0.4391719585979299,0.44325141871453216,0.17281143069394186,0.09049767608926007,0.0013855306613610873,0.0007854500160678776
