mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_random_forest__max_depth,param_random_forest__max_leaf_nodes,param_random_forest__min_samples_split,param_random_forest__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.39151930809020996,0.18703730901082358,0.37665,0.38378327880312435,20,100,20,10,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 10}",394,0.37849661275404345,0.38395189819618236,0.37561560960975976,0.3809297616220203,0.37583758375837584,0.38646817659117044,0.06788806758891391,0.000980576213544138,0.0013089663591225702,0.0022641899901750034
1.4916600386301677,0.2673954168955485,0.37930833333333336,0.3855874652107916,20,100,20,20,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 20}",382,0.38037147213958955,0.38536445116691875,0.3802404939876503,0.3842298028725359,0.3773127312731273,0.38716814159292035,0.2156838762079234,0.13717724611728915,0.0014120107931198725,0.0012098925728485307
3.729219595591227,0.39562280972798664,0.382725,0.39003750974667123,20,100,20,50,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 50}",348,0.383321250906182,0.39018963211120417,0.3862403439914002,0.3902923786547332,0.3786128612861286,0.3896305184740763,0.20908889639177347,0.06583076060110817,0.00314226499833886,0.00029082713654690964
6.691614468892415,0.7961688041687012,0.38364166666666666,0.3909874639151125,20,100,20,100,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 100}",335,0.38419618528610355,0.38945210445391704,0.38476538086547835,0.391404892561157,0.38196319631963194,0.3921053947302635,0.0704336786939002,0.04400664569784025,0.0012093056009786396,0.0011226968509033934
1.3542441527048747,0.3341553211212158,0.3814416666666667,0.3884125313583347,20,100,50,10,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 10}",359,0.38464615153863463,0.3886895758590947,0.38401539961500963,0.38952986912336407,0.37566256625662564,0.3870181490925454,0.3083845112036593,0.024538853695064932,0.004094240755419677,0.0010439507076022796
1.8065784772237141,0.366804838180542,0.3807833333333333,0.386916651671474,20,100,50,20,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 20}",367,0.38364622653301,0.3884645674212783,0.3792905177370566,0.38402980037250467,0.3794129412941294,0.38825558722063896,0.24516145627768268,0.012730135762978788,0.002025101877699988,0.00204309422165423
3.72715425491333,0.42784929275512695,0.38225,0.3898582831338684,20,100,50,50,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 50}",356,0.3832962527810414,0.3897021138292686,0.3820654483637909,0.387667345841823,0.3813881388138814,0.3922053897305135,0.6351568822235475,0.13291544039950004,0.0007898349113961458,0.0018559368205293126
6.8717866738637285,0.6881473859151205,0.38245,0.3901957756333579,20,100,50,100,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 100}",353,0.3821713371497138,0.38832706226483493,0.3845653858653534,0.3900423755296941,0.3806130613061306,0.3922178891055447,0.5226960145905842,0.04403248070324732,0.0016254880671696147,0.001592122706734626
0.9140353997548422,0.2332592805226644,0.38266666666666665,0.3881540708414712,20,100,100,10,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 10}",349,0.38269629777766667,0.3878145430453642,0.3800404989875253,0.38402980037250467,0.3852635263526353,0.39261786910654467,0.1548248702123996,0.07244629488833637,0.0021323549600585747,0.003514274746268974
2.284297545750936,0.322676420211792,0.380075,0.3859250345327326,20,100,100,20,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 20}",374,0.38312126590505713,0.38730202382589346,0.3822404439889003,0.3856548206852586,0.37486248624862484,0.38481825908704564,0.41220776580853646,0.030611745888460145,0.0037030293643889856,0.001031837668760921
3.945016702016195,0.5273482799530029,0.38295,0.38996243922626617,20,100,100,50,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 50}",346,0.3825713071519636,0.38721452054452044,0.38464038399040024,0.3908923861548269,0.38163816381638166,0.39178041097945104,0.30880779643884937,0.07309825332312098,0.001254542490307362,0.001976603118720334
6.615248362223308,0.7657951513926188,0.38345833333333335,0.3902916347995169,20,100,100,100,"{'random_forest__max_depth': 20, 'random_forest__max_leaf_nodes': 100, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 100}",337,0.38477114216433767,0.3888770828906084,0.38526536836579084,0.3907423842798035,0.3803380338033803,0.3912554372281386,0.4013544586378913,0.11066707685647188,0.002215426900879239,0.0010219340028254286
